signature,implicitMember,maxTargetSdk,overrideSourcePosition,publicAlternatives,trackingBug
|Landroid/app/usage/NetworkStatsManager;->setPollForce(Z)V|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager$PacketKeepalive;->stop()V|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager$PacketKeepaliveCallback;-><init>()V|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager$PacketKeepaliveCallback;->onError(I)V|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager$PacketKeepaliveCallback;->onStarted()V|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager$PacketKeepaliveCallback;->onStopped()V|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->ACTION_TETHER_STATE_CHANGED:Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->EXTRA_ACTIVE_TETHER:Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->EXTRA_AVAILABLE_TETHER:Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->EXTRA_ERRORED_TETHER:Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->INET_CONDITION_ACTION:Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->TYPE_MOBILE_CBS:I|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->TYPE_MOBILE_EMERGENCY:I|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->TYPE_MOBILE_FOTA:I|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->TYPE_MOBILE_IA:I|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->TYPE_MOBILE_IMS:I|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->from(Landroid/content/Context;)Landroid/net/ConnectivityManager;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getActiveLinkProperties()Landroid/net/LinkProperties;|,||,|28|,||,||,|109783091|
|Landroid/net/ConnectivityManager;->getActiveNetworkInfoForUid(I)Landroid/net/NetworkInfo;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->getDefaultNetworkCapabilitiesForUser(I)[Landroid/net/NetworkCapabilities;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getInstance()Landroid/net/ConnectivityManager;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getLastTetherError(Ljava/lang/String;)I|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->getLinkProperties(I)Landroid/net/LinkProperties;|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->getMobileDataEnabled()Z|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getNetworkForType(I)Landroid/net/Network;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getNetworkTypeName(I)Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->getTetherableBluetoothRegexs()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getTetherableIfaces()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getTetherableUsbRegexs()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getTetherableWifiRegexs()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getTetheredIfaces()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getTetheringErroredIfaces()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->isNetworkSupported(I)Z|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->isNetworkTypeMobile(I)Z|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->mService:Landroid/net/IConnectivityManager;|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->networkCapabilitiesForFeature(ILjava/lang/String;)Landroid/net/NetworkCapabilities;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->removeRequestForFeature(Landroid/net/NetworkCapabilities;)Z|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->requestNetworkForFeatureLocked(Landroid/net/NetworkCapabilities;)Landroid/net/NetworkRequest;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->requestRouteToHostAddress(ILjava/net/InetAddress;)Z|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->sLegacyRequests:Ljava/util/HashMap;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->setBackgroundDataSetting(Z)V|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->setProcessDefaultNetworkForHostResolution(Landroid/net/Network;)Z|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->setUsbTethering(Z)I|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->startNattKeepalive(Landroid/net/Network;ILandroid/net/ConnectivityManager$PacketKeepaliveCallback;Ljava/net/InetAddress;ILjava/net/InetAddress;)Landroid/net/ConnectivityManager$PacketKeepalive;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->tether(Ljava/lang/String;)I|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->untether(Ljava/lang/String;)I|,||,||,||,||,||
|Landroid/net/EthernetManager$Listener;->onAvailabilityChanged(Ljava/lang/String;Z)V|,||,|30|,||,||,|170729553|
|Landroid/net/EthernetManager;->addListener(Landroid/net/EthernetManager$Listener;)V|,||,|30|,||,||,|170729553|
|Landroid/net/EthernetManager;->addListener(Landroid/net/EthernetManager$Listener;Ljava/util/concurrent/Executor;)V|,||,|30|,||,||,|170729553|
|Landroid/net/EthernetManager;->getAvailableInterfaces()[Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/EthernetManager;->getConfiguration(Ljava/lang/String;)Landroid/net/IpConfiguration;|,||,|30|,||,||,|170729553|
|Landroid/net/EthernetManager;->isAvailable()Z|,||,|30|,||,||,|170729553|
|Landroid/net/EthernetManager;->isAvailable(Ljava/lang/String;)Z|,||,|30|,||,||,|170729553|
|Landroid/net/EthernetManager;->removeListener(Landroid/net/EthernetManager$Listener;)V|,||,|30|,||,||,|170729553|
|Landroid/net/EthernetManager;->setConfiguration(Ljava/lang/String;Landroid/net/IpConfiguration;)V|,||,|30|,||,||,|170729553|
|Landroid/net/IConnectivityManager;->getActiveLinkProperties()Landroid/net/LinkProperties;|,||,||,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:76:1:76:25|,||,||
|Landroid/net/IConnectivityManager;->getActiveNetworkInfo()Landroid/net/NetworkInfo;|,||,||,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:61:1:61:25|,||,||
|Landroid/net/IConnectivityManager;->getAllNetworkInfo()[Landroid/net/NetworkInfo;|,||,||,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:67:1:67:25|,||,||
|Landroid/net/IConnectivityManager;->getAllNetworkState()[Landroid/net/NetworkState;|,||,|30|,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:89:1:89:69|,||,|170729553|
|Landroid/net/IConnectivityManager;->getLastTetherError(Ljava/lang/String;)I|,||,|29|,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:99:1:100:99|,|Use {@code TetheringManager#getLastTetherError} as alternative|,||
|Landroid/net/IConnectivityManager;->getNetworkInfo(I)Landroid/net/NetworkInfo;|,||,|28|,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:64:1:64:44|,||,||
|Landroid/net/IConnectivityManager;->getTetherableIfaces()[Ljava/lang/String;|,||,|29|,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:103:1:104:100|,|Use {@code TetheringManager#getTetherableIfaces} as alternative|,||
|Landroid/net/IConnectivityManager;->getTetherableUsbRegexs()[Ljava/lang/String;|,||,|29|,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:116:1:117:103|,|Use {@code TetheringManager#getTetherableUsbRegexs} as alternative|,||
|Landroid/net/IConnectivityManager;->getTetherableWifiRegexs()[Ljava/lang/String;|,||,|29|,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:120:1:121:104|,|Use {@code TetheringManager#getTetherableWifiRegexs} as alternative|,||
|Landroid/net/IConnectivityManager;->getTetheredIfaces()[Ljava/lang/String;|,||,|29|,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:107:1:108:98|,|Use {@code TetheringManager#getTetheredIfaces} as alternative|,||
|Landroid/net/IConnectivityManager;->getTetheringErroredIfaces()[Ljava/lang/String;|,||,|29|,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:111:1:113:32|,|Use {@code TetheringManager#getTetheringErroredIfaces} as Alternative|,||
|Landroid/net/IConnectivityManager;->reportInetCondition(II)V|,||,|28|,|packages/modules/Connectivity/framework/src/android/net/IConnectivityManager.aidl:124:1:124:44|,||,||
|Landroid/net/INetworkStatsService;->forceUpdate()V|,||,||,|packages/modules/Connectivity/framework-t/src/android/net/INetworkStatsService.aidl:70:1:70:25|,||,||
|Landroid/net/INetworkStatsService;->getDataLayerSnapshotForUid(I)Landroid/net/NetworkStats;|,||,||,|packages/modules/Connectivity/framework-t/src/android/net/INetworkStatsService.aidl:50:1:50:25|,||,||
|Landroid/net/INetworkStatsService;->getMobileIfaces()[Ljava/lang/String;|,||,||,|packages/modules/Connectivity/framework-t/src/android/net/INetworkStatsService.aidl:57:1:57:25|,||,||
|Landroid/net/INetworkStatsService;->openSession()Landroid/net/INetworkStatsSession;|,||,||,|packages/modules/Connectivity/framework-t/src/android/net/INetworkStatsService.aidl:37:1:37:25|,||,||
|Landroid/net/INetworkStatsService;->openSessionForUsageStats(ILjava/lang/String;)Landroid/net/INetworkStatsSession;|,||,|30|,|packages/modules/Connectivity/framework-t/src/android/net/INetworkStatsService.aidl:46:1:46:69|,||,|170729553|
|Landroid/net/INetworkStatsSession;->close()V|,||,||,|packages/modules/Connectivity/framework-t/src/android/net/INetworkStatsSession.aidl:67:1:67:25|,||,||
|Landroid/net/INetworkStatsSession;->getHistoryForNetwork(Landroid/net/NetworkTemplate;I)Landroid/net/NetworkStatsHistory;|,||,||,|packages/modules/Connectivity/framework-t/src/android/net/INetworkStatsSession.aidl:33:1:33:25|,||,||
|Landroid/net/INetworkStatsSession;->getHistoryForUid(Landroid/net/NetworkTemplate;IIII)Landroid/net/NetworkStatsHistory;|,||,||,|packages/modules/Connectivity/framework-t/src/android/net/INetworkStatsSession.aidl:59:1:59:25|,||,||
|Landroid/net/INetworkStatsSession;->getSummaryForAllUid(Landroid/net/NetworkTemplate;JJZ)Landroid/net/NetworkStats;|,||,||,|packages/modules/Connectivity/framework-t/src/android/net/INetworkStatsSession.aidl:52:1:52:25|,||,||
|Landroid/net/INetworkStatsSession;->getSummaryForNetwork(Landroid/net/NetworkTemplate;JJ)Landroid/net/NetworkStats;|,||,||,|packages/modules/Connectivity/framework-t/src/android/net/INetworkStatsSession.aidl:30:1:30:25|,||,||
|Landroid/net/IpConfiguration;-><init>(Landroid/net/IpConfiguration$IpAssignment;Landroid/net/IpConfiguration$ProxySettings;Landroid/net/StaticIpConfiguration;Landroid/net/ProxyInfo;)V|,||,|30|,||,||,|170729553|
|Landroid/net/IpConfiguration;->httpProxy:Landroid/net/ProxyInfo;|,||,||,||,||,||
|Landroid/net/LinkAddress;->address:Ljava/net/InetAddress;|,||,|28|,||,||,|115609023|
|Landroid/net/LinkAddress;->getNetworkPrefixLength()I|,||,||,||,||,||
|Landroid/net/LinkAddress;->isIPv6()Z|,||,|28|,||,||,||
|Landroid/net/LinkAddress;->prefixLength:I|,||,|28|,||,||,|115609023|
|Landroid/net/LinkProperties$ProvisioningChange;->GAINED_PROVISIONING:Landroid/net/LinkProperties$ProvisioningChange;|,||,||,||,||,||
|Landroid/net/LinkProperties$ProvisioningChange;->LOST_PROVISIONING:Landroid/net/LinkProperties$ProvisioningChange;|,||,||,||,||,||
|Landroid/net/LinkProperties$ProvisioningChange;->STILL_NOT_PROVISIONED:Landroid/net/LinkProperties$ProvisioningChange;|,||,||,||,||,||
|Landroid/net/LinkProperties$ProvisioningChange;->STILL_PROVISIONED:Landroid/net/LinkProperties$ProvisioningChange;|,||,||,||,||,||
|Landroid/net/LinkProperties$ProvisioningChange;->values()[Landroid/net/LinkProperties$ProvisioningChange;|,|values()[Landroid/net/LinkProperties$ProvisioningChange;|,||,||,||,||
|Landroid/net/LinkProperties;->addStackedLink(Landroid/net/LinkProperties;)Z|,||,||,||,||,||
|Landroid/net/LinkProperties;->compareProvisioning(Landroid/net/LinkProperties;Landroid/net/LinkProperties;)Landroid/net/LinkProperties$ProvisioningChange;|,||,|30|,||,||,|170729553|
|Landroid/net/LinkProperties;->getAllAddresses()Ljava/util/List;|,||,||,||,||,||
|Landroid/net/LinkProperties;->getStackedLinks()Ljava/util/List;|,||,|30|,||,||,|170729553|
|Landroid/net/LinkProperties;->hasGlobalIPv6Address()Z|,||,|28|,||,||,||
|Landroid/net/LinkProperties;->hasIPv4Address()Z|,||,|28|,||,||,||
|Landroid/net/LinkProperties;->hasIPv4DefaultRoute()Z|,||,|28|,||,||,||
|Landroid/net/LinkProperties;->hasIPv4DnsServer()Z|,||,|28|,||,||,||
|Landroid/net/LinkProperties;->hasIPv6DefaultRoute()Z|,||,|28|,||,||,||
|Landroid/net/LinkProperties;->hasIPv6DnsServer()Z|,||,|28|,||,||,||
|Landroid/net/LinkProperties;->isIPv6Provisioned()Z|,||,|28|,||,||,||
|Landroid/net/LinkProperties;->isIdenticalAddresses(Landroid/net/LinkProperties;)Z|,||,||,||,||,||
|Landroid/net/LinkProperties;->isIdenticalDnses(Landroid/net/LinkProperties;)Z|,||,||,||,||,||
|Landroid/net/LinkProperties;->isIdenticalHttpProxy(Landroid/net/LinkProperties;)Z|,||,|28|,||,||,|115609023|
|Landroid/net/LinkProperties;->isIdenticalInterfaceName(Landroid/net/LinkProperties;)Z|,||,||,||,||,||
|Landroid/net/LinkProperties;->isIdenticalRoutes(Landroid/net/LinkProperties;)Z|,||,||,||,||,||
|Landroid/net/LinkProperties;->isIdenticalStackedLinks(Landroid/net/LinkProperties;)Z|,||,|30|,||,||,|170729553|
|Landroid/net/LinkProperties;->mIfaceName:Ljava/lang/String;|,||,|28|,||,||,|115609023|
|Landroid/net/MacAddress;->ALL_ZEROS_ADDRESS:Landroid/net/MacAddress;|,||,|30|,||,||,|170729553|
|Landroid/net/Network;-><init>(I)V|,||,|30|,||,||,|170729553|
|Landroid/net/Network;->netId:I|,||,||,||,||,||
|Landroid/net/NetworkAgent;->sendNetworkInfo(Landroid/net/NetworkInfo;)V|,||,|28|,||,||,|115609023|
|Landroid/net/NetworkCapabilities;->hasSignalStrength()Z|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkCapabilities;->mNetworkCapabilities:J|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkCapabilities;->mSignalStrength:I|,||,|28|,||,||,||
|Landroid/net/NetworkCapabilities;->transportNamesOf([I)Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkInfo;-><init>(Landroid/net/NetworkInfo;)V|,||,||,||,||,||
|Landroid/net/NetworkInfo;->setFailover(Z)V|,||,||,||,||,||
|Landroid/net/NetworkInfo;->setIsAvailable(Z)V|,||,||,||,||,||
|Landroid/net/NetworkInfo;->setRoaming(Z)V|,||,||,||,||,||
|Landroid/net/NetworkInfo;->setSubtype(ILjava/lang/String;)V|,||,||,||,||,||
|Landroid/net/NetworkRequest;->legacyType:I|,||,|28|,||,||,|115609023|
|Landroid/net/NetworkRequest;->networkCapabilities:Landroid/net/NetworkCapabilities;|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkRequest;->requestId:I|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkState;-><init>(Landroid/os/Parcel;)V|,||,||,||,||,||
|Landroid/net/NetworkState;->CREATOR:Landroid/os/Parcelable$Creator;|,||,||,||,||,||
|Landroid/net/NetworkState;->network:Landroid/net/Network;|,||,|28|,||,||,|115609023|
|Landroid/net/NetworkStats$Entry;-><init>()V|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats$Entry;->iface:Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats$Entry;->operations:J|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats$Entry;->rxBytes:J|,||,||,||,||,||
|Landroid/net/NetworkStats$Entry;->rxPackets:J|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats$Entry;->set:I|,||,||,||,||,||
|Landroid/net/NetworkStats$Entry;->tag:I|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats$Entry;->txBytes:J|,||,||,||,||,||
|Landroid/net/NetworkStats$Entry;->txPackets:J|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats$Entry;->uid:I|,||,||,||,||,||
|Landroid/net/NetworkStats;-><init>(Landroid/os/Parcel;)V|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats;->capacity:I|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats;->defaultNetwork:[I|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats;->getTotal(Landroid/net/NetworkStats$Entry;)Landroid/net/NetworkStats$Entry;|,||,||,||,||,||
|Landroid/net/NetworkStats;->getTotal(Landroid/net/NetworkStats$Entry;I)Landroid/net/NetworkStats$Entry;|,||,||,||,||,||
|Landroid/net/NetworkStats;->getTotalBytes()J|,||,||,||,||,||
|Landroid/net/NetworkStats;->getTotalIncludingTags(Landroid/net/NetworkStats$Entry;)Landroid/net/NetworkStats$Entry;|,||,||,||,||,||
|Landroid/net/NetworkStats;->getUniqueUids()[I|,||,||,||,||,||
|Landroid/net/NetworkStats;->getValues(ILandroid/net/NetworkStats$Entry;)Landroid/net/NetworkStats$Entry;|,||,||,||,||,||
|Landroid/net/NetworkStats;->iface:[Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats;->metered:[I|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats;->operations:[J|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats;->roaming:[I|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats;->rxBytes:[J|,||,||,||,||,||
|Landroid/net/NetworkStats;->rxPackets:[J|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats;->set:[I|,||,||,||,||,||
|Landroid/net/NetworkStats;->size()I|,||,||,||,||,||
|Landroid/net/NetworkStats;->size:I|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats;->tag:[I|,||,||,||,||,||
|Landroid/net/NetworkStats;->txBytes:[J|,||,||,||,||,||
|Landroid/net/NetworkStats;->txPackets:[J|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStats;->uid:[I|,||,||,||,||,||
|Landroid/net/NetworkStatsHistory$Entry;->bucketDuration:J|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStatsHistory$Entry;->bucketStart:J|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStatsHistory$Entry;->rxBytes:J|,||,||,||,||,||
|Landroid/net/NetworkStatsHistory$Entry;->rxPackets:J|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStatsHistory$Entry;->txBytes:J|,||,||,||,||,||
|Landroid/net/NetworkStatsHistory$Entry;->txPackets:J|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStatsHistory;-><init>(J)V|,||,||,||,||,||
|Landroid/net/NetworkStatsHistory;-><init>(Landroid/os/Parcel;)V|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStatsHistory;->CREATOR:Landroid/os/Parcelable$Creator;|,||,||,||,||,||
|Landroid/net/NetworkStatsHistory;->getEnd()J|,||,||,||,||,||
|Landroid/net/NetworkStatsHistory;->getIndexBefore(J)I|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStatsHistory;->getStart()J|,||,||,||,||,||
|Landroid/net/NetworkStatsHistory;->getValues(ILandroid/net/NetworkStatsHistory$Entry;)Landroid/net/NetworkStatsHistory$Entry;|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkStatsHistory;->getValues(JJJLandroid/net/NetworkStatsHistory$Entry;)Landroid/net/NetworkStatsHistory$Entry;|,||,||,||,||,||
|Landroid/net/NetworkStatsHistory;->getValues(JJLandroid/net/NetworkStatsHistory$Entry;)Landroid/net/NetworkStatsHistory$Entry;|,||,||,||,||,||
|Landroid/net/NetworkStatsHistory;->recordEntireHistory(Landroid/net/NetworkStatsHistory;)V|,||,||,||,||,||
|Landroid/net/NetworkStatsHistory;->size()I|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkTemplate;-><init>(ILjava/lang/String;Ljava/lang/String;)V|,||,|33|,||,|Use {@code Builder} instead.|,||
|Landroid/net/NetworkTemplate;->CREATOR:Landroid/os/Parcelable$Creator;|,||,||,||,||,||
|Landroid/net/NetworkTemplate;->buildTemplateEthernet()Landroid/net/NetworkTemplate;|,||,|33|,||,|Use {@code Builder} instead.|,||
|Landroid/net/NetworkTemplate;->buildTemplateMobileAll(Ljava/lang/String;)Landroid/net/NetworkTemplate;|,||,|33|,||,|Use {@code Builder} instead.|,||
|Landroid/net/NetworkTemplate;->buildTemplateMobileWildcard()Landroid/net/NetworkTemplate;|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkTemplate;->buildTemplateWifi()Landroid/net/NetworkTemplate;|,||,|33|,||,|Use {@code Builder} instead.|,||
|Landroid/net/NetworkTemplate;->buildTemplateWifiWildcard()Landroid/net/NetworkTemplate;|,||,|33|,||,|Use {@code Builder} instead.|,||
|Landroid/net/NetworkTemplate;->getSubscriberId()Ljava/lang/String;|,||,|33|,||,|Caller should use {@code getSubscriberIds} instead.|,||
|Landroid/net/NetworkTemplate;->normalize(Landroid/net/NetworkTemplate;[Ljava/lang/String;)Landroid/net/NetworkTemplate;|,||,|33|,||,|There is no alternative for {@code NetworkTemplate.normalize}.Callers should have their own logic to merge template for different IMSIs and stop calling this function.|,||
|Landroid/net/NetworkUtils;->getImplicitNetmask(Ljava/net/Inet4Address;)I|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkUtils;->intToInetAddress(I)Ljava/net/InetAddress;|,||,||,||,||,||
|Landroid/net/NetworkUtils;->netmaskToPrefixLength(Ljava/net/Inet4Address;)I|,||,|30|,||,||,|170729553|
|Landroid/net/NetworkUtils;->numericToInetAddress(Ljava/lang/String;)Ljava/net/InetAddress;|,||,|28|,||,||,||
|Landroid/net/NetworkUtils;->prefixLengthToNetmaskInt(I)I|,||,||,||,||,||
|Landroid/net/NetworkUtils;->trimV4AddrZeros(Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ProxyInfo;-><init>(Ljava/lang/String;ILjava/lang/String;)V|,||,||,||,||,||
|Landroid/net/RouteInfo;-><init>(Landroid/net/IpPrefix;Ljava/net/InetAddress;Ljava/lang/String;)V|,||,|30|,||,||,|170729553|
|Landroid/net/RouteInfo;-><init>(Landroid/net/LinkAddress;Ljava/net/InetAddress;)V|,||,||,||,||,||
|Landroid/net/RouteInfo;-><init>(Landroid/net/LinkAddress;Ljava/net/InetAddress;Ljava/lang/String;)V|,||,||,||,||,||
|Landroid/net/RouteInfo;-><init>(Ljava/net/InetAddress;)V|,||,||,||,||,||
|Landroid/net/RouteInfo;->isHost()Z|,||,|28|,||,||,|115609023|
|Landroid/net/RouteInfo;->mGateway:Ljava/net/InetAddress;|,||,||,||,||,||
|Landroid/net/RouteInfo;->mIsHost:Z|,||,|28|,||,||,|115609023|
|Landroid/net/RouteInfo;->selectBestRoute(Ljava/util/Collection;Ljava/net/InetAddress;)Landroid/net/RouteInfo;|,||,|30|,||,||,|170729553|
|Landroid/net/StaticIpConfiguration;->dnsServers:Ljava/util/ArrayList;|,||,|30|,||,||,|170729553|
|Landroid/net/StaticIpConfiguration;->domains:Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/StaticIpConfiguration;->gateway:Ljava/net/InetAddress;|,||,|30|,||,||,|170729553|
|Landroid/net/StaticIpConfiguration;->ipAddress:Landroid/net/LinkAddress;|,||,|30|,||,||,|170729553|
|Landroid/net/TrafficStats;->getMobileIfaces()[Ljava/lang/String;|,||,|28|,||,||,|130143562|
|Landroid/net/TrafficStats;->getMobileTcpRxPackets()J|,||,|30|,||,||,|170729553|
|Landroid/net/TrafficStats;->getMobileTcpTxPackets()J|,||,|30|,||,||,|170729553|
|Landroid/net/TrafficStats;->getStatsService()Landroid/net/INetworkStatsService;|,||,|28|,||,||,|130143562|
|Landroid/net/nsd/NsdServiceInfo;->setAttribute(Ljava/lang/String;[B)V|,||,||,||,||,||
